TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1544691066.957127,0.834228,-0.217365,-1.212130,-0.268240,1,0.503473,6.181440,-4.464123,17.370950,1,0.337927,0.147921,-0.034350,0.464352,1,0.999447,37.678864,-10.426420,13.626221,1,1.000000,1.000000,0.000000,1.000000,1,1.000000,9.454144,1.254895,9.454144,1,0.960135,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691076.945163,0.878932,-0.500221,-1.234355,-0.230893,1,0.730220,7.584384,-5.034987,17.833132,1,0.562748,0.241296,-0.026608,0.460080,1,0.999447,37.678864,-10.426420,13.626221,0,0.734855,0.734855,0.000000,1.000000,1,0.913578,8.745544,1.254895,9.454144,1,0.963939,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691086.933368,0.704542,-0.370802,-1.238366,-0.215438,1,0.910688,17.858609,-5.022855,17.890183,1,0.423563,0.190460,-0.019128,0.458982,1,0.999447,37.678864,-10.426420,13.626221,0,0.827714,0.827714,0.000000,1.000000,1,0.998507,9.441902,1.254895,9.454144,0,0.980385,4,4,4,4,4,4,4,4,4,4,4,4,4,3
1544691096.922678,0.534447,-0.971791,-1.230758,-0.217945,1,0.819251,10.592796,-5.797117,18.574535,1,0.629345,0.270804,-0.013267,0.455588,1,0.999447,37.678864,-10.426420,13.626221,0,0.696726,0.696726,0.000000,1.000000,1,0.558557,6.476904,1.489419,10.418657,1,0.946084,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691106.910069,0.322572,-0.940086,-1.229248,-0.224042,1,0.610293,6.831389,-6.162599,18.913158,1,0.493081,0.221842,-0.006729,0.455531,1,0.999447,37.678864,-10.426420,13.626221,0,0.700158,0.700158,0.000000,1.000000,1,0.496246,5.920521,1.489419,10.418657,1,0.814322,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691116.896697,0.745415,-0.244482,-1.237234,-0.223460,1,0.795760,16.389749,-6.191961,18.859358,1,0.445902,0.207008,-0.000105,0.453542,1,0.999447,37.678864,-10.426420,13.626221,0,0.725451,0.725451,0.000000,1.000000,1,0.950822,9.979533,1.489419,10.418657,1,0.827238,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691126.885762,0.946502,0.415619,-1.260407,-0.189638,1,0.968121,26.702912,-6.826344,19.445632,1,0.575459,0.253530,0.004673,0.448402,1,0.999447,37.678864,-10.426420,13.626221,0,0.656600,0.656600,0.000000,1.000000,1,0.963007,10.418657,1.773404,10.750752,0,0.840108,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691136.872206,0.936846,-0.324240,-1.267978,-0.180580,1,0.607560,7.283292,-8.306427,20.616666,1,0.697059,0.300999,0.005350,0.448823,1,0.999447,37.678864,-10.426420,13.626221,0,0.599156,0.599156,0.000000,1.000000,1,0.793651,8.898282,1.773404,10.750752,1,0.857787,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691146.862175,0.946502,0.297067,-1.330961,-0.103323,1,0.506928,5.419451,-8.216599,20.507161,1,0.587953,0.262354,0.011724,0.450577,1,0.999447,37.678864,-10.426420,13.626221,1,0.784103,0.784103,0.000000,1.000000,1,0.627286,7.404766,1.773404,10.750752,1,0.837793,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691156.848761,0.899533,0.012181,-1.359130,-0.067418,1,0.478227,5.384107,-8.313246,20.450422,1,0.420859,0.205342,0.017070,0.448737,1,0.779711,40.558578,-13.566402,58.332183,0,0.657709,0.657709,0.000000,1.000000,1,0.429923,5.934358,2.151295,10.950693,1,0.741795,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691166.837305,0.917917,0.069151,-1.398902,-0.010018,1,0.900193,21.748877,-8.404064,20.478115,1,0.697059,0.305142,0.021697,0.446865,1,0.840870,46.320992,-13.566402,58.332183,0,0.471733,0.471733,0.000000,1.000000,1,0.526826,6.787049,2.151295,10.950693,1,0.650982,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691176.824118,0.858436,-0.514637,-1.458392,0.068437,1,0.485148,4.922229,-8.470366,20.562341,1,0.548108,0.251816,0.023357,0.447524,1,0.871295,65.295670,-13.167253,75.743354,1,0.578682,0.578682,0.000000,1.000000,1,0.378873,5.453186,2.347073,10.545378,1,0.531121,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691186.813242,0.796856,-0.453284,-1.473550,0.101001,1,0.444912,4.467928,-8.594742,20.519293,1,0.303235,0.166236,0.027244,0.443873,1,0.464258,40.567799,1.828158,84.015529,1,0.495628,0.495628,0.000000,1.000000,1,0.253717,4.427125,2.347073,10.545378,1,0.431697,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691196.799386,0.777553,-0.254814,-1.471666,0.112966,1,0.434086,4.133882,-8.829081,20.518507,1,0.295661,0.162986,0.029547,0.438377,1,0.383985,34.914593,7.521160,75.081393,1,0.420599,0.420599,0.000000,1.000000,1,0.228287,4.137510,2.336952,10.224200,1,0.343578,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691206.787946,0.775473,-0.136532,-1.470907,0.125391,1,0.434076,3.761390,-9.026768,20.508919,1,0.300491,0.164962,0.031966,0.433757,1,0.936928,75.772369,8.424851,73.202919,1,0.662219,0.662219,0.000000,1.000000,1,0.845979,9.009396,2.336952,10.224200,1,0.373731,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691216.776240,0.807132,-0.572026,-1.476664,0.147107,1,0.447848,5.081597,-9.195854,20.480772,1,0.232624,0.136759,0.033656,0.428246,1,0.508853,44.736176,10.700060,77.821445,1,0.547737,0.547737,0.000000,1.000000,1,0.322993,4.962861,2.521660,10.079712,1,0.428810,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691226.764454,0.712411,-0.172774,-1.473091,0.156034,1,0.616085,10.779106,-9.253254,20.419801,1,0.424584,0.206297,0.035844,0.423940,1,0.553117,46.743404,12.149245,75.899077,0,0.468795,0.468795,0.000000,1.000000,1,0.313608,4.891925,2.521660,10.079712,1,0.400117,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691236.752221,0.740263,-0.198132,-1.464997,0.157939,1,0.488427,5.909923,-9.218772,20.342989,1,0.407069,0.201879,0.039290,0.422050,1,0.580568,48.169262,12.149245,75.899077,0,0.523199,0.523199,0.000000,1.000000,1,0.931940,9.565312,2.521660,10.079712,1,0.436216,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691246.739121,0.810122,-0.239356,-1.468038,0.174897,1,0.492312,5.238036,-9.287708,20.286982,1,0.295079,0.164761,0.041935,0.418899,1,0.583875,48.342613,12.149245,75.899077,0,0.681019,0.681019,0.000000,1.000000,1,1.000000,9.940917,2.610301,9.940917,1,0.618708,4,4,4,4,4,4,3,4,4,4,4,4,4,4
