Session ID;Probandennr.;Zeitstempel;;Aktion;;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:17:14.239+0100;;booklet_switch;Kontaktwinkel;Theorie;false
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:18:15.602+0100;61363;link;Link_Instruktion_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:18:15.605+0100;3;chapter_switch;Instruktion;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:18:16.439+0100;834;link;Link_Orientierung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:18:16.440+0100;1;chapter_switch;Orientierung;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:20:27.595+0100;131155;user_rating;I+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:20:30.281+0100;2686;user_rating;C+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:20:30.548+0100;267;recommend;;[Kontaktwinkel.Theorie.Link_Theorie_xpage];
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:20:34.098+0100;3550;link;Link_Theorie_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:20:34.101+0100;3;chapter_switch;Theorie;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:21:54.233+0100;80132;user_rating;I+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:21:57.361+0100;3128;user_rating;C-;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:21:57.635+0100;274;recommend;[Kontaktwinkel.Theorie.Link_Theorie_xpage];[Kontaktwinkel.Theorie.Link_Grundprinzip_xpage];
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:21:58.971+0100;1336;link;Link_Grundprinzip_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:21:58.973+0100;2;chapter_switch;Grundprinzip;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:04.483+0100;305510;user_rating;I+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:05.426+0100;943;user_rating;C+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:05.617+0100;191;recommend;[Kontaktwinkel.Theorie.Link_Grundprinzip_xpage];[Kontaktwinkel.Theorie.Link_Berechnung_xpage];
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:07.518+0100;1901;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:07.518+0100;0;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:29.368+0100;21850;link;Link_Grundprinzip_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:29.371+0100;3;chapter_switch;Grundprinzip;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:36.651+0100;7280;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:27:36.652+0100;1;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:03.341+0100;26689;link;Link_Grundprinzip_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:03.341+0100;0;chapter_switch;Grundprinzip;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:12.334+0100;8993;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:12.336+0100;2;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:16.375+0100;4039;link;Link_Grundprinzip_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:16.377+0100;2;chapter_switch;Grundprinzip;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:21.027+0100;4650;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:21.028+0100;1;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:23.370+0100;2342;user_rating;I-;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:24.121+0100;751;user_rating;C+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:24.520+0100;399;recommend;[Kontaktwinkel.Theorie.Link_Berechnung_xpage];[Kontaktwinkel.Theorie.Link_Anwendung_xpage];
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:26.227+0100;1707;link;Link_Raue_Oberflaechen_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:28:26.228+0100;1;chapter_switch;Raue_Oberflaechen;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:33:40.862+0100;314634;user_rating;I+;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:33:43.278+0100;2416;user_rating;C-;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:33:43.334+0100;56;recommend;[Kontaktwinkel.Theorie.Link_Anwendung_xpage];[Kontaktwinkel.Theorie.Link_Berechnung_xpage];
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:33:45.003+0100;1669;link;Link_Anwendung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:33:45.004+0100;1;chapter_switch;Anwendung;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:00.969+0100;315965;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:00.970+0100;1;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:02.662+0100;1692;link;Link_Grundprinzip_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:02.663+0100;1;chapter_switch;Grundprinzip;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:06.762+0100;4099;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:06.764+0100;2;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:09.160+0100;2396;link;Link_Raue_Oberflaechen_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:09.161+0100;1;chapter_switch;Raue_Oberflaechen;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:17.972+0100;8811;link;Link_Berechnung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:17.972+0100;0;chapter_switch;Berechnung;true;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:22.422+0100;4450;link;Link_Raue_Oberflaechen_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:22.423+0100;1;chapter_switch;Raue_Oberflaechen;false;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:59.063+0100;36640;link;Link_Anwendung_xpage;;
a1fa9eb9-efe0-4a76-9808-e8474bd3c2cf;user606;2019-01-09T13:39:59.063+0100;0;chapter_switch;Anwendung;false;
