TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1548252424.770754,0.946502,-0.031086,-1.281805,-0.182859,1,0.840495,10.577196,-7.681761,18.211621,1,0.604551,0.241253,-0.018325,0.425480,1,0.289032,32.389412,12.276575,75.132657,1,0.154939,0.154939,0.000000,1.000000,1,0.148777,2.792776,1.670274,9.215141,1,0.230942,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252434.757383,0.946502,-0.200570,-1.281805,-0.182859,1,0.545635,7.135759,-7.542355,18.113536,1,0.364284,0.156380,-0.012566,0.422149,1,0.418945,39.771599,14.444541,72.724129,1,0.319118,0.319118,0.000000,1.000000,1,0.324661,4.119794,1.670274,9.215141,1,0.212755,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252444.746833,0.881066,-0.487395,-1.323301,-0.125752,1,0.427253,3.682060,-7.699934,18.145900,1,0.259242,0.114470,-0.008735,0.416084,1,0.229023,27.235950,12.469240,69.875175,1,0.312748,0.312748,0.000000,1.000000,1,0.261462,3.460995,1.563734,8.820101,1,0.228240,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252454.742593,0.651781,-0.790067,-1.341955,-0.090972,1,0.587255,7.270030,-7.861445,18.088941,1,0.463815,0.189956,-0.005869,0.409893,1,0.633897,46.095303,12.454868,67.621720,1,0.371729,0.371729,0.000000,1.000000,1,0.167040,2.775837,1.563734,8.820101,1,0.237024,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252464.720797,0.378678,-0.833062,-1.340134,-0.098304,1,0.646576,8.576247,-7.676212,17.951222,1,0.534934,0.215936,-0.000475,0.409399,1,0.944770,80.069176,11.422350,75.705263,1,0.450771,0.450771,0.000000,1.000000,1,0.101326,2.169524,1.456591,8.492595,1,0.216844,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252474.709012,0.872115,0.366275,-1.342807,-0.096607,1,0.943057,20.222814,-7.819254,18.075914,1,0.481526,0.200157,0.004330,0.407918,1,0.902471,79.082176,9.551731,83.129083,1,0.441641,0.441641,0.000000,1.000000,1,0.257964,3.271626,1.456591,8.492595,1,0.220866,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252484.697083,0.895503,-0.307447,-1.410981,-0.009627,1,0.608074,6.535316,-7.768333,18.082398,1,0.407122,0.176943,0.008454,0.405062,1,0.484357,46.618710,11.744653,83.283892,1,0.380180,0.380180,0.000000,1.000000,1,0.521057,4.922732,1.308716,8.244648,1,0.296165,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252494.684701,0.888671,-0.158794,-1.461691,0.061199,1,0.580504,7.523234,-7.626257,17.982051,1,0.329115,0.151166,0.011892,0.401403,1,0.302108,34.951927,11.635934,81.749956,1,0.364572,0.364572,0.000000,1.000000,1,0.488902,4.699704,1.308716,8.244648,1,0.318068,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252504.676340,0.874343,0.034088,-1.499856,0.119877,1,0.584953,8.256165,-7.584844,17.873689,1,0.298018,0.139948,0.014266,0.396686,1,0.176756,23.289370,9.625376,80.679710,1,0.378017,0.378017,0.000000,1.000000,1,0.556606,5.097764,1.452450,8.001638,1,0.387853,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252514.661757,0.873750,0.158114,-1.540847,0.182134,1,0.816404,11.472630,-7.545332,17.946938,1,0.417671,0.180165,0.017189,0.393115,1,0.615607,51.834671,10.564625,80.020719,1,0.490604,0.490604,0.000000,1.000000,1,0.316008,3.522043,1.452450,8.001638,1,0.430299,4,4,4,4,4,4,4,4,4,4,4,4,4,4
