Session ID;Probandennr.;Zeitstempel;;Aktion;;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T08:56:00.367+0100;;booklet_switch;Kontaktwinkel;Theorie;false
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:03:21.843+0100;4041476;booklet_switch;Kontaktwinkel;Theorie;false
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:04:41.228+0100;79385;link;Link_Instruktion_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:04:42.623+0100;1395;link;Link_Orientierung_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:07:05.399+0100;142776;user_rating;C+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:07:06.329+0100;930;user_rating;I+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:07:13.267+0100;6938;link;Link_Theorie_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:07:57.589+0100;44322;link;Link_Grundprinzip_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:12:48.686+0100;291097;user_rating;I+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:12:49.739+0100;1053;user_rating;C+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:07.202+0100;17463;link;Link_Berechnung_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:10.465+0100;3263;link;Link_Theorie_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:12.301+0100;1836;user_rating;I+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:12.900+0100;599;user_rating;C+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:13.921+0100;1021;link;Link_Berechnung_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:15.449+0100;1528;link;Link_Grundprinzip_xpage;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:18.549+0100;3100;user_rating;I+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:19.339+0100;790;user_rating;C+;;
f1c6204d-80c4-43fd-936d-be5ad6e398a2;User602;2019-01-08T10:13:20.803+0100;1464;link;Link_Berechnung_xpage;;
